"","Protein_ID","Species","Function","Appearances"
"643","P04803","Yeast","Tryptophan--tRNA ligase, mitochondrial","173"
"644","Q8RXE9","Arabidopsis","Tryptophan--tRNA ligase, chloroplastic/mitochondrial","173"
"645","Q9UGM6","Human","Tryptophan--tRNA ligase, mitochondrial","173"
"646","P0DI74","Arabidopsis","Protein transport protein Sec61 subunit gamma-1","174"
"647","P35179","Yeast","Protein transport protein SSS1","174"
"648","P60059","Human","Protein transport protein Sec61 subunit gamma","174"
"649","Q9SMP2","Arabidopsis","Protein transport protein Sec61 subunit gamma-3","174"
"650","P07284","Yeast","Serine--tRNA ligase, cytoplasmic","175"
"651","P49591","Human","Serine--tRNA ligase, cytoplasmic","175"
"652","Q39230","Arabidopsis","Serine--tRNA ligase, cytoplasmic","175"
"653","P33298","Yeast","26S proteasome regulatory subunit 6B homolog","176"
"654","P43686","Human","26S proteasome regulatory subunit 6B","176"
"655","Q9SEI4","Arabidopsis","26S proteasome regulatory subunit 6B homolog","176"
"656","A0A654FAK7","Arabidopsis","Thioredoxin domain-containing protein","177"
"657","O14530","Human","Thioredoxin domain-containing protein 9","177"
"658","O64628","Arabidopsis","Thioredoxin domain-containing protein 9 homolog","177"
"659","Q04004","Yeast","Phosducin-like protein 1","177"
"660","Q6NPL9","Arabidopsis","Thioredoxin domain-containing protein PLP3A","177"
"661","Q8LCV1","Arabidopsis","Thioredoxin domain-containing protein PLP3B","177"
"662","F4JEP5","Arabidopsis","DNA mismatch repair protein MSH5","178"
"663","O43196","Human","MutS protein homolog 5","178"
"664","Q12175","Yeast","MutS protein homolog 5","178"
"665","P0CX53","Yeast","Large ribosomal subunit protein uL11A","179, 287"
"666","P30050","Human","Large ribosomal subunit protein uL11","179, 287"
"667","P50883","Arabidopsis","Large ribosomal subunit protein uL11z","179, 287"
"668","Q9FF52","Arabidopsis","Large ribosomal subunit protein uL11x","179, 287"
"669","Q9LFH5","Arabidopsis","Large ribosomal subunit protein uL11y","179, 287"
"670","P08708","Human","Small ribosomal subunit protein eS17","180, 798"
"671","P14127","Yeast","Small ribosomal subunit protein eS17B","180"
"672","P49205","Arabidopsis","Small ribosomal subunit protein eS17z","180, 798"
"673","Q9LZ17","Arabidopsis","Small ribosomal subunit protein eS17w","180, 798"
"674","Q9SJ36","Arabidopsis","Small ribosomal subunit protein eS17y","180, 798"
"675","Q9SQZ1","Arabidopsis","Small ribosomal subunit protein eS17x","180, 798"
"676","P09457","Yeast","ATP synthase subunit 5, mitochondrial","181"
"677","P48047","Human","ATP synthase subunit O, mitochondrial","181"
"678","Q96251","Arabidopsis","ATP synthase subunit O, mitochondrial","181"
"679","Q9SSS9","Arabidopsis","ATP synthase subunit delta, chloroplastic","181"
"680","P32119","Human","Peroxiredoxin-2","182, 777"
"681","Q04120","Yeast","Peroxiredoxin TSA2","182"
"682","Q96291","Arabidopsis","2-Cys peroxiredoxin BAS1, chloroplastic","182, 777"
"683","Q9C5R8","Arabidopsis","2-Cys peroxiredoxin BAS1-like, chloroplastic","182, 777"
"684","A6NH52","Human","Golgi apparatus membrane protein TVP23 homolog A","183"
"685","P38962","Yeast","Golgi apparatus membrane protein TVP23","183"
"686","Q8LEK2","Arabidopsis","Golgi apparatus membrane protein-like protein ECHIDNA","183"
"687","Q96ET8","Human","Golgi apparatus membrane protein TVP23 homolog C","183"
"688","Q9NYZ1","Human","Golgi apparatus membrane protein TVP23 homolog B","183"
"689","F4I1P7","Arabidopsis","DNA ligase","184"
"690","P04819","Yeast","DNA ligase 1","184"
"691","P18858","Human","DNA ligase 1","184"
"692","Q42572","Arabidopsis","DNA ligase 1","184"
"693","P39078","Yeast","T-complex protein 1 subunit delta","185"
"694","P50991","Human","T-complex protein 1 subunit delta","185"
"695","Q9LV21","Arabidopsis","T-complex protein 1 subunit delta","185"
"696","Q12055","Yeast","Adenylate kinase isoenzyme 6 homolog FAP7","186"
"697","Q9FJI1","Arabidopsis","Adenylate kinase isoenzyme 6 homolog","186"
"698","Q9Y3D8","Human","Adenylate kinase isoenzyme 6","186"
"699","P15180","Yeast","Lysine--tRNA ligase, cytoplasmic","187"
"700","Q15046","Human","Lysine--tRNA ligase","187"
"701","Q9ZPI1","Arabidopsis","Lysine--tRNA ligase, cytoplasmic","187"
"702","P05453","Yeast","Eukaryotic peptide chain release factor GTP-binding subunit","188"
"703","P15170","Human","Eukaryotic peptide chain release factor GTP-binding subunit ERF3A","188"
"704","Q8IYD1","Human","Eukaryotic peptide chain release factor GTP-binding subunit ERF3B","188"
"705","Q8L835","Arabidopsis","Eukaryotic peptide chain release factor GTP-binding subunit","188"
"706","P32891","Yeast","D-lactate dehydrogenase [cytochrome] 1, mitochondrial","189"
"707","Q86WU2","Human","Probable D-lactate dehydrogenase, mitochondrial","189"
"708","Q94AX4","Arabidopsis","D-lactate dehydrogenase [cytochrome], mitochondrial","189"
"709","P38959","Yeast","Vacuolar protein sorting-associated protein 41","190"
"710","P49754","Human","Vacuolar protein sorting-associated protein 41 homolog","190"
"711","P93043","Arabidopsis","Vacuolar protein sorting-associated protein 41 homolog","190"
"712","O22886","Arabidopsis","Uroporphyrinogen decarboxylase 2, chloroplastic","191"
"713","P06132","Human","Uroporphyrinogen decarboxylase","191"
"714","P32347","Yeast","Uroporphyrinogen decarboxylase","191"
"715","Q93ZB6","Arabidopsis","Uroporphyrinogen decarboxylase 1, chloroplastic","191"
"716","F4JVW1","Arabidopsis","Probable cytosolic iron-sulfur protein assembly protein CIAO1 homolog","192"
"717","O76071","Human","Probable cytosolic iron-sulfur protein assembly protein CIAO1","192"
"718","O80990","Arabidopsis","Protein CIA1","192"
"719","Q05583","Yeast","Cytosolic iron-sulfur protein assembly protein 1","192"
"720","O00628","Human","Peroxisomal targeting signal 2 receptor","193"
"721","P39108","Yeast","Peroxisomal targeting signal 2 receptor","193"
"722","Q9XF57","Arabidopsis","Peroxisome biogenesis protein 7","193"
"723","P11353","Yeast","Oxygen-dependent coproporphyrinogen-III oxidase","194"
"724","P36551","Human","Oxygen-dependent coproporphyrinogen-III oxidase, mitochondrial","194"
"725","Q9LR75","Arabidopsis","Coproporphyrinogen-III oxidase 1, chloroplastic","194"
"726","P32495","Yeast","H/ACA ribonucleoprotein complex subunit NHP2","195"
"727","Q9LEY9","Arabidopsis","H/ACA ribonucleoprotein complex subunit 2-like protein","195"
"728","Q9NX24","Human","H/ACA ribonucleoprotein complex subunit 2","195"
"729","P34087","Yeast","DNA-directed RNA polymerase II subunit RPB7","196"
"730","P38421","Arabidopsis","DNA-directed RNA polymerase II subunit 7","196"
"731","P62487","Human","DNA-directed RNA polymerase II subunit RPB7","196"
"732","F4HUL6","Arabidopsis","Catalase 3","197"
"733","F4JM86","Arabidopsis","Catalase","197"
"734","P04040","Human","Catalase","197"
"735","P15202","Yeast","Peroxisomal catalase A","197"
"736","Q96528","Arabidopsis","Catalase-1","197"
"737","A0A384KE82","Arabidopsis","Uncharacterized protein","198"
"738","Q07508","Yeast","Protein LUC7","198"
"739","Q9NQ29","Human","Putative RNA-binding protein Luc7-like 1","198"
"740","A0A654FQP8","Arabidopsis","D-aminoacyl-tRNA deacylase","199"
"741","Q07648","Yeast","D-aminoacyl-tRNA deacylase","199"
"742","Q8TEA8","Human","D-aminoacyl-tRNA deacylase 1","199"
"743","O22287","Arabidopsis","Mannose-1-phosphate guanylyltransferase 1","200"
"744","P41940","Yeast","Mannose-1-phosphate guanyltransferase","200"
"745","Q8H1Q7","Arabidopsis","Probable mannose-1-phosphate guanylyltransferase 3","200"
"746","Q9M2S0","Arabidopsis","Probable mannose-1-phosphate guanylyltransferase 2","200"
"747","Q9Y5P6","Human","Mannose-1-phosphate guanylyltransferase catalytic subunit beta","200"
"751","F4IP53","Arabidopsis","General regulatory factor 9","202, 294"
"752","P34730","Yeast","Protein BMH2","202"
"753","P42643","Arabidopsis","14-3-3-like protein GF14 chi","202, 294"
"754","P42644","Arabidopsis","14-3-3-like protein GF14 psi","202, 294"
"755","P42645","Arabidopsis","14-3-3-like protein GF14 upsilon","202, 294"
"756","P46077","Arabidopsis","14-3-3-like protein GF14 phi","202, 294"
"757","P48348","Arabidopsis","14-3-3-like protein G-BOX factor 14 kappa","202, 294"
"758","P62258","Human","14-3-3 protein epsilon","202, 294"
"759","Q01525","Arabidopsis","14-3-3-like protein GF14 omega","202, 294"
"760","Q96300","Arabidopsis","14-3-3-like protein GF14 nu","202, 294"
"761","A0A178W8Z8","Arabidopsis","(thale cress) hypothetical protein","203"
"762","Q03768","Yeast","Protein GIR2","203"
"763","Q9H446","Human","RWD domain-containing protein 1","203"
"764","A0A178W3G2","Arabidopsis","Nucleolar-like protein","204"
"765","P78316","Human","Nucleolar protein 14","204"
"766","Q99207","Yeast","Nucleolar complex protein 14","204"
"767","P52918","Yeast","Protein MSN5","205"
"768","Q0WP44","Arabidopsis","Protein HASTY 1","205"
"769","Q9HAV4","Human","Exportin-5","205"
"770","A0A178UF32","Arabidopsis","Uncharacterized protein","206"
"771","O60508","Human","Pre-mRNA-processing factor 17","206"
"772","P40968","Yeast","Pre-mRNA-processing factor 17","206"
"773","Q12510","Yeast","DNA damage-binding protein CMR1","207"
"774","Q9H967","Human","WD repeat-containing protein 76","207"
"775","Q9SAI7","Arabidopsis","DROUGHT SENSITIVE 1","207"
"776","P00325","Human","All-trans-retinol dehydrogenase [NAD(+)] ADH1B","208"
"777","P00326","Human","Alcohol dehydrogenase 1C","208"
"778","P07327","Human","Alcohol dehydrogenase 1A","208"
"779","P08319","Human","All-trans-retinol dehydrogenase [NAD(+)] ADH4","208"
"780","P11766","Human","Alcohol dehydrogenase class-3","208"
"781","P32771","Yeast","S-(hydroxymethyl)glutathione dehydrogenase","208"
"782","Q96533","Arabidopsis","Alcohol dehydrogenase class-3","208"
"783","A0A654G051","Arabidopsis","RNA helicase","209"
"784","Q07478","Yeast","ATP-dependent RNA helicase SUB2","209"
"785","Q13838","Human","Spliceosome RNA helicase DDX39B","209"
"786","Q56XG6","Arabidopsis","DEAD-box ATP-dependent RNA helicase 15","209"
"787","P31111","Yeast","Synaptonemal complex protein ZIP1","210"
"788","Q15431","Human","Synaptonemal complex protein 1","210"
"789","Q9FHD1","Arabidopsis","At5g52280","210"
"790","Q9LW85","Arabidopsis","MAR-binding filament-like protein 1","210"
"791","P13045","Yeast","Protein GAL3","211"
"794","F4K3M1","Arabidopsis","PETER PAN-like protein","212, 518"
"795","Q12153","Yeast","Ribosome biogenesis protein SSF2","212"
"796","Q9NQ55","Human","Suppressor of SWI4 1 homolog","212, 518"
"797","P41058","Yeast","Small ribosomal subunit protein uS14B","213"
"798","P62273","Human","Small ribosomal subunit protein uS14","213, 712"
"799","Q680P8","Arabidopsis","Small ribosomal subunit protein uS14z/uS14y/uS14x","213, 712"
"800","F4HS68","Arabidopsis","Tetratricopeptide repeat (TPR)-containing protein","214"
"801","P12945","Yeast","N-terminal acetyltransferase A complex subunit NAT1","214"
"802","Q6N069","Human","N-alpha-acetyltransferase 16, NatA auxiliary subunit","214"
"803","Q9BXJ9","Human","N-alpha-acetyltransferase 15, NatA auxiliary subunit","214"
"804","Q03940","Yeast","RuvB-like protein 1","215"
"805","Q9FMR9","Arabidopsis","RuvB-like protein 1","215"
"806","Q9Y265","Human","RuvB-like 1","215"
"807","P50623","Yeast","SUMO-conjugating enzyme UBC9","216"
"808","P63279","Human","SUMO-conjugating enzyme UBC9","216"
"809","Q42551","Arabidopsis","SUMO-conjugating enzyme SCE1","216"
"810","P0CX55","Yeast","Small ribosomal subunit protein uS13A","217, 764"
"811","P34788","Arabidopsis","Small ribosomal subunit protein uS13z/uS13y/uS13x","217, 764"
"812","P62269","Human","Small ribosomal subunit protein uS13","217, 764"
"813","A0A0A0MT64","Human","NADPH:adrenodoxin oxidoreductase, mitochondrial","218"
"814","P48360","Yeast","Probable NADPH:adrenodoxin oxidoreductase, mitochondrial","218"
"815","Q8W3L1","Arabidopsis","NADPH:adrenodoxin oxidoreductase, mitochondrial","218"
"816","P22213","Yeast","Protein SLY1","219"
"817","Q8WVM8","Human","Sec1 family domain-containing protein 1","219"
"818","Q9SL48","Arabidopsis","SEC1 family transport protein SLY1","219"
"819","O80765","Arabidopsis","Pantothenate kinase 1","220"
"820","Q04430","Yeast","Pantothenate kinase CAB1","220"
"821","Q8TE04","Human","Pantothenate kinase 1","220"
"822","O82514","Arabidopsis","Adenylate kinase 4","221"
"823","P07170","Yeast","Adenylate kinase","221"
"824","P54819","Human","Adenylate kinase 2, mitochondrial","221"
"825","Q9FK35","Arabidopsis","Adenylate kinase 3","221"
"826","P08397","Human","Porphobilinogen deaminase","222"
"827","P28789","Yeast","Porphobilinogen deaminase","222"
"828","Q43316","Arabidopsis","Porphobilinogen deaminase, chloroplastic","222"
"829","P06242","Yeast","Serine/threonine-protein kinase KIN28","223"
"830","P50613","Human","Cyclin-dependent kinase 7","223"
"831","Q9C9M7","Arabidopsis","Cyclin-dependent kinase D-2","223"
"832","Q9C9U2","Arabidopsis","Cyclin-dependent kinase D-1","223"
"833","Q9LMT0","Arabidopsis","Cyclin-dependent kinase D-3","223"
"834","F4KF39","Arabidopsis","Regulatory particle non-ATPase subunit 5B","224"
"835","F4KFD7","Arabidopsis","26S proteasome regulatory subunit, putative (RPN5)","224"
"836","O00232","Human","26S proteasome non-ATPase regulatory subunit 12","224"
"837","Q12250","Yeast","26S proteasome regulatory subunit RPN5","224"
"838","A0A178U9K9","Arabidopsis","(thale cress) hypothetical protein","225, 236"
"839","O23095","Arabidopsis","Large ribosomal subunit protein P1z","225, 236"
"840","P05318","Yeast","Large ribosomal subunit protein P1A","225"
"841","P05386","Human","Large ribosomal subunit protein P1","225, 236"
"842","Q8LCW9","Arabidopsis","Large ribosomal subunit protein P1w","225, 236"
"843","Q8LEQ0","Arabidopsis","Large ribosomal subunit protein P1y","225, 236"
"844","Q03390","Yeast","Vacuolar protein-sorting-associated protein 60","226"
"845","Q9FMC5","Arabidopsis","Vacuolar protein sorting-associated protein 60.2","226"
"846","Q9LPN5","Arabidopsis","Vacuolar protein sorting-associated protein 60.1","226"
"847","Q9NZZ3","Human","Charged multivesicular body protein 5","226"
"848","O23240","Arabidopsis","D-2-hydroxyglutarate dehydrogenase, mitochondrial","227, 320"
"849","P46681","Yeast","D-2-hydroxyglutarate--pyruvate transhydrogenase DLD2","227"
"850","Q8N465","Human","D-2-hydroxyglutarate dehydrogenase, mitochondrial","227, 320"
"851","P39904","Yeast","Vacuolar protein sorting-associated protein 52","228"
"852","Q8N1B4","Human","Vacuolar protein sorting-associated protein 52 homolog","228"
"853","Q94KD3","Arabidopsis","Vacuolar protein sorting-associated protein 52 A","228"
"854","Q9FVV6","Arabidopsis","Vacuolar protein sorting-associated protein 52 B","228"
"855","A0A178WDI7","Arabidopsis","Bms1-type G domain-containing protein","229"
"856","Q07381","Yeast","Ribosome biogenesis protein TSR1","229"
"857","Q2NL82","Human","Pre-rRNA-processing protein TSR1 homolog","229"
"858","P25694","Yeast","Cell division control protein 48","230"
"859","P54609","Arabidopsis","Cell division control protein 48 homolog A","230"
"860","P55072","Human","Transitional endoplasmic reticulum ATPase","230"
"861","Q9LZF6","Arabidopsis","Cell division control protein 48 homolog E","230"
"862","Q9SCN8","Arabidopsis","Cell division control protein 48 homolog D","230"
"863","D6RG19","Human","Ribosomal protein L37","231, 693"
"864","P51402","Yeast","Large ribosomal subunit protein eL37B","231"
"865","Q43292","Arabidopsis","Large ribosomal subunit protein eL37y","231, 693"
"866","Q8LEM8","Arabidopsis","Large ribosomal subunit protein eL37x","231, 693"
"867","Q8LFH7","Arabidopsis","Large ribosomal subunit protein eL37z","231, 693"
"868","Q06632","Yeast","Protein CFT1","232"
"869","Q10570","Human","Cleavage and polyadenylation specificity factor subunit 1","232"
"870","Q9FGR0","Arabidopsis","Cleavage and polyadenylation specificity factor subunit 1","232"
"871","P26885","Human","Peptidyl-prolyl cis-trans isomerase FKBP2","233"
"872","P32472","Yeast","Peptidyl-prolyl cis-trans isomerase FPR2","233"
"873","Q38935","Arabidopsis","Peptidyl-prolyl cis-trans isomerase FKBP15-1","233"
"874","Q38936","Arabidopsis","Peptidyl-prolyl cis-trans isomerase FKBP15-2","233"
"875","P15454","Yeast","Guanylate kinase","234"
"876","Q16774","Human","Guanylate kinase","234"
"877","Q94JM2","Arabidopsis","Guanylate kinase 3, chloroplastic","234"
"878","A0A384KWN4","Arabidopsis","(thale cress) hypothetical protein","235"
"879","Q12488","Yeast","DNA replication complex GINS protein PSF1","235"
"880","Q14691","Human","DNA replication complex GINS protein PSF1","235"
"884","P10622","Yeast","Large ribosomal subunit protein P1B","236"
"887","Q03920","Yeast","eRF1 methyltransferase catalytic subunit MTQ2",""
"888","Q9Y5N5","Human","Methyltransferase N6AMT1",""
"889","P41214","Human","Eukaryotic translation initiation factor 2D","238"
"890","Q04600","Yeast","Translation machinery-associated protein 64","238"
"891","Q0WUR1","Arabidopsis","Eukaryotic translation initiation factor SUI1 family protein","238"
"892","A0A178URA9","Arabidopsis","(thale cress) hypothetical protein","239, 731"
"893","Q04006","Yeast","Protein UPS3, mitochondrial","239"
"894","Q96N28","Human","PRELI domain containing protein 3A","239, 731"
"895","Q9Y255","Human","PRELI domain-containing protein 1, mitochondrial","239, 731"
"896","Q9Y3B1","Human","PRELI domain containing protein 3B","239, 731"
"897","O81055","Arabidopsis","SKP1-like protein 16","240"
"898","P52286","Yeast","Suppressor of kinetochore protein 1","240"
"899","P63208","Human","S-phase kinase-associated protein 1","240"
"900","Q1PEL7","Arabidopsis","SKP1-like protein 15","240"
"901","A0A1I9LRV7","Arabidopsis","3'-5'-exoribonuclease family protein","241"
"902","Q05636","Yeast","Exosome complex component RRP45","241"
"903","Q06265","Human","Exosome complex component RRP45","241"
"904","Q9LDM2","Arabidopsis","Exosome complex component RRP45A","241"
"905","Q05506","Yeast","Arginine--tRNA ligase, cytoplasmic","242"
"906","Q5T160","Human","Probable arginine--tRNA ligase, mitochondrial","242, 512"
"907","Q9C713","Arabidopsis","Arginine--tRNA ligase, cytoplasmic","242, 512"
"908","M0R2B7","Human","DNA polymerase","243"
"909","P15436","Yeast","DNA polymerase delta catalytic subunit","243"
"910","Q9LVN7","Arabidopsis","DNA polymerase delta catalytic subunit","243"
"911","F8VSA6","Human","NEDD8 ubiquitin like modifier","244"
"912","O65381","Arabidopsis","NEDD8-like protein RUB3","244"
"913","Q03919","Yeast","NEDD8-like protein RUB1","244"
"914","Q15843","Human","Ubiquitin-like protein NEDD8","244"
"915","F4HVW3","Arabidopsis","Leucine carboxyl methyltransferase 1 homolog","245"
"916","Q04081","Yeast","Leucine carboxyl methyltransferase 1","245"
"917","Q9UIC8","Human","Leucine carboxyl methyltransferase 1","245"
"918","Q12018","Yeast","Cell division control protein 53","246"
"919","Q13616","Human","Cullin-1","246"
"920","Q8LGH4","Arabidopsis","Cullin-4","246"
"921","Q9C9L0","Arabidopsis","Cullin-3B","246"
"922","Q9ZVH4","Arabidopsis","Cullin-3A","246"
"923","A0A3B3IUB1","Human","Translation initiation factor eIF2B subunit epsilon","247"
"924","A0A654FQY7","Arabidopsis","Translation initiation factor eIF2B subunit epsilon","247"
"925","O64760","Arabidopsis","Translation initiation factor eIF2B subunit epsilon","247"
"926","P32501","Yeast","Translation initiation factor eIF2B subunit epsilon","247"
"927","Q9SRU3","Arabidopsis","Translation initiation factor eIF2B subunit epsilon","247"
"928","O75821","Human","Eukaryotic translation initiation factor 3 subunit G","248"
"929","Q04067","Yeast","Eukaryotic translation initiation factor 3 subunit G","248"
"930","Q9FI86","Arabidopsis","Eukaryotic translation initiation factor 3 subunit G","248"
"931","Q9SSJ0","Arabidopsis","Eukaryotic translation initiation factor 3 subunit G","248"
"932","P32381","Yeast","Actin-related protein 2","249"
"933","P61160","Human","Actin-related protein 2","249"
"934","Q9LSD6","Arabidopsis","Actin-related protein 2","249"
"935","F4JA10","Arabidopsis","Presequence protease 1","250"
"936","P32898","Yeast","Presequence protease, mitochondrial","250"
"937","Q5JRX3","Human","Presequence protease, mitochondrial","250"
"938","Q8VY06","Arabidopsis","Presequence protease 2, chloroplastic/mitochondrial","250"
"945","Q03786","Yeast","Probable gluconokinase","252"
"946","Q5T6J7","Human","Probable gluconokinase","252"
"947","Q9SLE0","Arabidopsis","Gluconokinase","252"
"948","A8MZA4","Human","Golgin subfamily A member 6-like protein 6","253"
"949","P32380","Yeast","Spindle pole body component 110","253"
"950","Q9LME2","Arabidopsis","Synaptonemal complex protein 1","253"
"951","O14777","Human","Kinetochore protein NDC80 homolog","254"
"952","P40460","Yeast","Kinetochore protein NDC80","254"
"953","Q9M1G5","Arabidopsis","Kinetochore protein NDC80 homolog","254"
"954","O60645","Human","Exocyst complex component 3","255"
"955","P32844","Yeast","Exocyst complex component SEC6","255"
"956","Q94AI6","Arabidopsis","Exocyst complex component SEC6","255"
"957","P26784","Yeast","Large ribosomal subunit protein uL13A","256"
"958","P40429","Human","Large ribosomal subunit protein uL13","256, 869"
"959","Q9FKC0","Arabidopsis","Large ribosomal subunit protein uL13w","256, 869"
"960","Q9LRX8","Arabidopsis","Large ribosomal subunit protein uL13y","256, 869"
"961","Q9SFU1","Arabidopsis","Large ribosomal subunit protein uL13z","256, 869"
"962","Q9SVR0","Arabidopsis","Large ribosomal subunit protein uL13x","256, 869"
"963","E2RYF6","Human","Mucin-22","257"
"964","P08640","Yeast","Flocculation protein FLO11","257"
"965","Q9LIE8","Arabidopsis","Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein","257, 476"
"966","H3BQF6","Human","Methyltransferase domain-containing protein (Fragment)","258"
"967","P40516","Yeast","Protein-lysine N-methyltransferase EFM4","258"
"968","Q5JPI9","Human","EEF1A lysine methyltransferase 2","258"
"969","Q9C9M1","Arabidopsis","Protein-lysine N-methyltransferase At1g66680","258"
"970","P40185","Yeast","Protein MMF1, mitochondrial","259"
"971","P52758","Human","2-iminobutanoate/2-iminopropanoate deaminase","259, 307"
"972","Q94JQ4","Arabidopsis","Reactive Intermediate Deaminase A, chloroplastic","259, 307"
"973","P40492","Yeast","Protein FYV10","260"
"974","Q7L5Y9","Human","E3 ubiquitin-protein transferase MAEA","260"
"975","Q9M2V9","Arabidopsis","Protein MAEA homolog","260"
"976","O95486","Human","Protein transport protein Sec24A","261, 854"
"977","P40482","Yeast","Protein transport protein SEC24","261"
"978","Q9SFU0","Arabidopsis","Protein transport protein SEC24 A","261, 854"
"979","A0A1P8BCS7","Arabidopsis","DNA 3'-5' helicase","262"
"980","A0A2R8Y6W8","Human","General transcription and DNA repair factor IIH helicase/translocase subunit XPB","262"
"981","Q00578","Yeast","General transcription and DNA repair factor IIH helicase/translocase subunit XPB/SSL2","262"
"982","Q38861","Arabidopsis","General transcription and DNA repair factor IIH helicase/translocase subunit XPB1","262"
"983","F4JZZ1","Arabidopsis","DNA primase","263"
"984","P10363","Yeast","DNA primase small subunit","263"
"985","P49642","Human","DNA primase small subunit","263"
"986","A0A178U862","Arabidopsis","3-oxoacyl-[acyl-carrier-protein] reductase","264"
"987","A0A1P8AN93","Arabidopsis","NAD(P)-binding Rossmann-fold superfamily protein","264"
"988","A0A654GFA1","Arabidopsis","3-oxoacyl-[acyl-carrier-protein] reductase","264"
"989","A0A7G2ET02","Arabidopsis","(thale cress) hypothetical protein","264"
"990","P40471","Yeast","NADPH-dependent 1-acyldihydroxyacetone phosphate reductase","264"
"991","Q9NYR8","Human","Retinol dehydrogenase 8","264"
"992","P21672","Yeast","Ribonucleoside-diphosphate reductase large chain 2","265"
"993","P23921","Human","Ribonucleoside-diphosphate reductase large subunit","265, 297"
"994","Q9SJ20","Arabidopsis","Ribonucleoside-diphosphate reductase large subunit","265, 297"
"995","A0A178UKW5","Arabidopsis","2-(3-amino-3-carboxypropyl)histidine synthase subunit 1","266"
"996","P40487","Yeast","2-(3-amino-3-carboxypropyl)histidine synthase subunit 1","266"
"997","Q9BZG8","Human","2-(3-amino-3-carboxypropyl)histidine synthase subunit 1","266"
"998","P32191","Yeast","Glycerol-3-phosphate dehydrogenase, mitochondrial","267"
"999","P43304","Human","Glycerol-3-phosphate dehydrogenase, mitochondrial","267"
"1000","Q9SS48","Arabidopsis","Glycerol-3-phosphate dehydrogenase SDP6, mitochondrial","267"
"1001","O48844","Arabidopsis","26S proteasome non-ATPase regulatory subunit 1 homolog A","268"
"1002","P32565","Yeast","26S proteasome regulatory subunit RPN2","268"
"1003","Q99460","Human","26S proteasome non-ATPase regulatory subunit 1","268"
"1004","Q9MAT0","Arabidopsis","26S proteasome non-ATPase regulatory subunit 1 homolog B","268"
"1005","P0CX45","Yeast","Large ribosomal subunit protein uL2A","269, 359"
"1006","P46286","Arabidopsis","Large ribosomal subunit protein uL2z","269, 359"
"1007","P62917","Human","Large ribosomal subunit protein uL2","269, 359"
"1008","Q42064","Arabidopsis","Large ribosomal subunit protein uL2x","269, 359"
"1009","Q4PSL7","Arabidopsis","Large ribosomal subunit protein uL2y","269, 359"
"1010","A0MDQ1","Arabidopsis","Ubiquitin-related modifier 1 homolog 1",""
"1011","B3H7G2","Arabidopsis","Ubiquitin-related modifier 1 homolog 2",""
"1012","P40554","Yeast","Ubiquitin-related modifier 1",""
"1013","Q9BTM9","Human","Ubiquitin-related modifier 1",""
"1014","P09110","Human","3-ketoacyl-CoA thiolase, peroxisomal","271"
"1015","P27796","Yeast","3-ketoacyl-CoA thiolase, peroxisomal","271"
"1016","Q56WD9","Arabidopsis","3-ketoacyl-CoA thiolase 2, peroxisomal","271"
"1017","Q8LF48","Arabidopsis","3-ketoacyl-CoA thiolase 1, peroxisomal","271"
"1018","A0A1P8BFF9","Arabidopsis","Phosphopantothenate-cysteine ligase-like protein","272"
"1019","P40506","Yeast","Phosphopantothenate--cysteine ligase CAB2","272"
"1020","Q8GXR5","Arabidopsis","Phosphopantothenate--cysteine ligase 1","272"
"1021","Q9HAB8","Human","Phosphopantothenate--cysteine ligase","272"
"1022","P39076","Yeast","T-complex protein 1 subunit beta","273"
"1023","P78371","Human","T-complex protein 1 subunit beta","273"
"1024","Q940P8","Arabidopsis","T-complex protein 1 subunit beta","273"
"1025","P13517","Yeast","F-actin-capping protein subunit beta","274"
"1026","P47756","Human","F-actin-capping protein subunit beta","274"
"1027","Q9M9G7","Arabidopsis","F-actin-capping protein subunit beta","274"
"1028","O04630","Arabidopsis","Threonine--tRNA ligase, mitochondrial 1","275"
"1029","P04801","Yeast","Threonine--tRNA ligase, cytoplasmic","275"
"1030","P26639","Human","Threonine--tRNA ligase 1, cytoplasmic","275"
"1031","P40525","Yeast","Large ribosomal subunit protein eL34B","276"
"1032","P49207","Human","Large ribosomal subunit protein eL34","276, 286"
"1033","Q42351","Arabidopsis","Large ribosomal subunit protein eL34z","276, 286"
"1034","Q9FE65","Arabidopsis","Large ribosomal subunit protein eL34y","276, 286"
"1035","Q9LJW6","Arabidopsis","Large ribosomal subunit protein eL34x","276, 286"
"1036","A0A178U8W0","Arabidopsis","PDZ domain-containing protein","277"
"1037","O00233","Human","26S proteasome non-ATPase regulatory subunit 9","277"
"1038","P40555","Yeast","Probable 26S proteasome regulatory subunit p27","277"
"1039","O14531","Human","Dihydropyrimidinase-related protein 4","278"
"1040","P32375","Yeast","Allantoinase","278"
"1041","Q14117","Human","Dihydropyrimidinase","278"
"1042","Q94AP0","Arabidopsis","Allantoinase","278"
"1043","Q9BPU6","Human","Dihydropyrimidinase-related protein 5","278"
"1044","B9DHA6","Arabidopsis","Ubiquitin-ribosomal protein eL40z fusion protein","279, 605"
"1045","P0CH08","Yeast","Ubiquitin-ribosomal protein eL40A fusion protein","279, 605"
"1046","P62987","Human","Ubiquitin-ribosomal protein eL40 fusion protein","279, 605"
